,,,,,,Bajo,Medio,Alto
Maiz,Norte de Buenos Aires,,,,,$373.66,$433.89,$488.87
insumo,nivel_tecnologico,cantidad,precio,costo,,,,
"2,4-D 100%",Alto,0.78,$5.90,$4.60,,,,
Atrazina 90%,Alto,3.12,$6.80,$21.22,,,,
Cosecha,Alto,1,$83.00,$83.00,,,,
Fertilización,Alto,1,$7.60,$7.60,,,,
Fosfato Diamonico,Alto,130,$0.57,$74.10,,,,
Glifosato,Alto,9.75,$2.40,$23.40,,,,
Guardian,Alto,2.6,$6.75,$17.55,,,,
Karate Zeon 5%,Alto,0.1625,$14.40,$2.34,,,,
Pulverización Terrestre,Alto,3,$4.60,$13.80,,,,
Semillas MG RR,Alto,0.9,$162.00,$145.80,,,,
Siembra Directa + Fertilizacion,Alto,1,$0.43,$0.43,,,,
Urea,Alto,221,$0.43,$95.03,,,,
"2,4-D 100%",Bajo,0.546,$5.90,$3.22,,,,
Atrazina 90%,Bajo,2.184,$6.80,$14.85,,,,
Cosecha,Bajo,1,$83.00,$83.00,,,,
Fertilización,Bajo,1,$7.60,$7.60,,,,
Fosfato Diamonico,Bajo,91,$0.57,$51.87,,,,
Glifosato,Bajo,6.825,$2.40,$16.38,,,,
Guardian,Bajo,1.82,$6.75,$12.29,,,,
Karate Zeon 5%,Bajo,0.11375,$14.40,$1.64,,,,
Pulverización Terrestre,Bajo,3,$4.60,$13.80,,,,
Semillas MG RR,Bajo,0.63,$162.00,$102.06,,,,
Siembra Directa + Fertilizacion,Bajo,1,$0.43,$0.43,,,,
Urea,Bajo,154.7,$0.43,$66.52,,,,
"2,4-D 100%",Medio,0.6,$5.90,$3.54,,,,
Atrazina 90%,Medio,2.4,$6.80,$16.32,,,,
Cosecha,Medio,1,$83.00,$83.00,,,,
Fertilización,Medio,1,$7.60,$7.60,,,,
Fosfato Diamonico,Medio,100,$0.57,$57.00,,,,
Glifosato,Medio,7.5,$2.40,$18.00,,,,
Guardian,Medio,2,$6.75,$13.50,,,,
